Date,Number of Crimes,Rain,Average Temp (NOAA),Average Temp (Wunderland),Average Temp (Combined)
2020-09-27,312,NO,75.5,74.2,74.85
2019-09-28,476,NO,58.0,59.5,58.75
2020-09-28,327,NO,76.0,76.1,76.05
2019-09-29,456,NO,58.0,59.7,58.85
2020-09-29,311,NO,59.5,62.1,60.8
2019-09-30,413,NO,58.0,58.8,58.4
2020-09-30,327,NO,69.0,66.6,67.8
2019-10-01,505,NO,57.5,58.8,58.15
2020-10-01,379,NO,78.5,72.1,75.3
2019-10-02,531,NO,60.0,59.4,59.7
2020-10-02,319,NO,72.5,69.2,70.85
2019-10-03,416,NO,57.5,58.9,58.2
2020-10-03,309,NO,66.5,64.7,65.6
2019-10-04,515,NO,60.5,60.7,60.6
2020-10-04,250,NO,58.5,59.6,59.05
2019-10-05,455,NO,64.5,64.3,64.4
2020-10-05,338,NO,61.0,57.1,59.05
2019-10-06,460,NO,70.5,69.3,69.9
2020-10-06,309,YES,56.0,57.6,56.8
2019-10-07,383,NO,72.0,69.6,70.8
2020-10-07,273,NO,57.5,59.1,58.3
2019-10-08,402,NO,66.0,63.3,64.65
2020-10-08,398,NO,59.0,61.9,60.45
2019-10-09,421,NO,59.0,61.0,60.0
2020-10-09,300,NO,61.5,61.9,61.7
2019-10-10,439,NO,68.0,65.8,66.9
2020-10-10,277,NO,61.5,64.3,62.9
2019-10-11,440,NO,66.5,64.7,65.6
2020-10-11,316,NO,64.0,63.5,63.75
2019-10-12,403,NO,66.0,62.6,64.3
2020-10-12,269,NO,69.5,66.5,68.0
2019-10-13,358,NO,56.0,57.8,56.9
2020-10-13,290,NO,70.5,67.6,69.05
2019-10-14,406,NO,56.5,56.1,56.3
2020-10-14,316,NO,72.5,71.5,72.0
2019-10-15,401,NO,59.0,55.0,57.0
2020-10-15,341,NO,77.5,76.0,76.75
2019-10-16,478,NO,57.5,58.9,58.2
2020-10-16,288,NO,80.5,78.3,79.4
2019-10-17,416,YES,58.5,60.3,59.4
2020-10-17,331,NO,78.5,72.3,75.4
2019-10-18,465,NO,59.0,59.9,59.45
2020-10-18,287,NO,67.0,66.8,66.9
2019-10-19,458,NO,59.5,59.6,59.55
2020-10-19,314,NO,62.0,61.6,61.8
2019-10-20,417,NO,60.0,60.5,60.25
2020-10-20,308,NO,63.5,63.8,63.65
2019-10-21,416,NO,66.5,64.8,65.65
2020-10-21,309,NO,66.0,64.1,65.05
2019-10-22,424,NO,70.0,67.5,68.75
2020-10-22,335,NO,58.5,61.0,59.75
2019-10-23,439,NO,71.5,68.7,70.1
2020-10-23,354,NO,60.0,59.9,59.95
2019-10-24,419,NO,75.5,74.9,75.2
2020-10-24,284,NO,60.0,60.0,60.0
2019-10-25,486,NO,74.5,70.0,72.25
2020-10-25,275,NO,62.0,61.0,61.5
2019-10-26,460,NO,63.5,61.4,62.45
2020-10-26,321,NO,65.5,64.8,65.15
2019-10-27,380,NO,60.5,62.5,61.5
2020-10-27,278,NO,65.5,65.2,65.35
2019-10-28,506,NO,60.5,61.0,60.75
2020-10-28,333,NO,64.0,61.1,62.55
2019-10-29,429,NO,60.0,57.2,58.6
2020-10-29,310,NO,63.5,59.5,61.5
2019-10-30,464,NO,58.5,58.9,58.7
2020-10-30,357,NO,55.0,56.1,55.55
2019-10-31,389,NO,61.5,59.5,60.5
2020-10-31,335,NO,62.5,59.0,60.75
2019-11-01,516,NO,61.0,58.1,59.55
2020-11-01,398,NO,65.5,60.7,63.1
2019-11-02,413,NO,62.5,59.4,60.95
2020-11-02,365,NO,65.0,59.8,62.4
2019-11-03,356,NO,64.0,59.0,61.5
2020-11-03,297,NO,58.0,56.2,57.1
2019-11-04,436,NO,60.0,55.4,57.7
2020-11-04,326,NO,62.5,59.8,61.15
2019-11-05,400,NO,56.0,54.0,55.0
2020-11-05,350,NO,65.5,61.8,63.65
2019-11-06,408,NO,55.0,53.1,54.05
2020-11-06,363,NO,55.0,56.8,55.9
2019-11-07,419,NO,54.5,53.0,53.75
2020-11-07,356,NO,54.0,55.0,54.5
2019-11-08,431,NO,55.5,54.5,55.0
2020-11-08,302,NO,52.0,,52.0
2019-11-09,427,NO,56.5,52.1,54.3
2020-11-09,311,NO,51.5,50.0,50.75
2019-11-10,388,NO,57.5,53.2,55.35
2020-11-10,303,NO,53.5,52.4,52.95
2019-11-11,391,NO,63.0,57.3,60.15
2020-11-11,340,NO,53.5,55.0,54.25
2019-11-12,428,NO,60.0,57.9,58.95
2020-11-12,346,NO,54.0,52.9,53.45
2019-11-13,428,NO,53.0,54.6,53.8
2020-11-13,319,YES,53.5,54.7,54.1
2019-11-14,426,YES,57.5,57.4,57.45
2020-11-14,336,NO,54.5,52.9,53.7
2019-11-15,462,NO,59.5,59.0,59.25
2020-11-15,306,NO,56.0,54.2,55.1
2019-11-16,389,NO,60.0,54.2,57.1
2020-11-16,322,NO,60.0,58.0,59.0
2019-11-17,399,NO,62.5,60.8,61.65
2020-11-17,284,YES,58.5,59.7,59.1
2019-11-18,348,NO,64.5,58.8,61.65
2020-11-18,304,YES,58.0,58.5,58.25
2019-11-19,403,NO,56.5,57.1,56.8
2020-11-19,297,NO,56.5,53.5,55.0
2019-11-20,462,NO,59.0,58.9,58.95
2020-11-20,363,NO,55.0,53.8,54.4
2019-11-21,428,NO,58.0,57.3,57.65
2020-11-21,333,NO,54.0,52.9,53.45
2019-11-22,453,NO,57.0,54.9,55.95
2020-11-22,310,NO,51.5,51.3,51.4
2019-11-23,380,NO,58.5,56.0,57.25
2020-11-23,314,NO,55.0,54.1,54.55
2019-11-24,376,NO,58.0,55.0,56.5
2020-11-24,331,NO,56.0,52.8,54.4
2019-11-25,412,NO,56.0,54.7,55.35
2020-11-25,359,NO,54.5,54.3,54.4
2019-11-26,377,YES,50.0,50.5,50.25
2020-11-26,263,NO,55.0,54.7,54.85
2019-11-27,393,YES,48.5,47.0,47.75
2020-11-27,418,NO,55.5,52.3,53.9
2019-11-28,245,YES,45.0,45.8,45.4
2020-11-28,277,NO,53.0,50.8,51.9
2019-11-29,377,YES,47.5,46.6,47.05
2020-11-29,287,NO,54.0,50.3,52.15
2019-11-30,373,YES,48.0,48.5,48.25
2020-11-30,340,NO,53.0,50.8,51.9
2019-12-01,395,YES,53.5,56.0,54.75
2020-12-01,415,NO,54.5,49.0,51.75
2019-12-02,394,YES,55.5,55.6,55.55
2020-12-02,293,NO,55.0,53.2,54.1
2019-12-03,430,YES,56.5,56.0,56.25
2020-12-03,309,NO,55.0,53.8,54.4
2019-12-04,498,YES,55.0,54.9,54.95
2020-12-04,346,NO,56.5,53.0,54.75
2019-12-05,429,YES,56.0,55.9,55.95
2020-12-05,341,NO,54.0,51.5,52.75
2019-12-06,450,YES,58.5,57.8,58.15
2020-12-06,334,NO,54.5,52.0,53.25
2019-12-07,403,YES,58.0,60.5,59.25
2020-12-07,314,NO,60.0,61.0,60.5
2019-12-08,376,YES,55.5,56.3,55.9
2020-12-08,349,NO,60.5,55.8,58.15
2019-12-09,438,NO,53.0,53.0,53.0
2020-12-09,355,NO,57.0,55.6,56.3
2019-12-10,380,YES,54.5,54.4,54.45
2020-12-10,309,NO,56.0,53.5,54.75
2019-12-11,412,YES,55.0,55.8,55.4
2020-12-11,371,YES,51.5,53.5,52.5
2019-12-12,406,YES,58.0,59.2,58.6
2020-12-12,298,YES,53.5,56.4,54.95
2019-12-13,440,YES,55.5,56.9,56.2
2020-12-13,244,YES,53.0,54.6,53.8
2019-12-14,393,YES,52.5,54.3,53.4
2020-12-14,290,NO,51.5,51.3,51.4
2019-12-15,359,NO,52.0,51.4,51.7
2020-12-15,325,NO,52.5,51.3,51.9
2019-12-16,399,NO,51.5,49.5,50.5
2020-12-16,272,NO,53.0,52.7,52.85
2019-12-17,388,NO,52.0,50.1,51.05
2020-12-17,335,YES,52.5,54.2,53.35
2019-12-18,416,YES,51.0,53.0,52.0
2020-12-18,355,NO,53.0,50.9,51.95
2019-12-19,394,YES,55.5,54.5,55.0
2020-12-19,345,NO,50.0,50.5,50.25
2019-12-20,414,NO,54.5,51.5,53.0
2020-12-20,343,NO,51.5,50.7,51.1
2019-12-21,413,NO,55.5,54.0,54.75
2020-12-21,321,NO,52.5,51.2,51.85
2019-12-22,343,YES,52.0,52.7,52.35
2020-12-22,314,NO,53.0,52.7,52.85
2019-12-23,436,NO,50.0,48.7,49.35
2020-12-23,334,NO,51.0,51.4,51.2
2019-12-24,357,NO,48.5,50.1,49.3
2020-12-24,373,NO,50.5,50.5,50.5
2019-12-25,258,YES,49.0,50.0,49.5
2020-12-25,288,YES,53.5,54.3,53.9
2019-12-26,337,NO,51.0,50.8,50.9
2020-12-26,308,NO,54.0,55.8,54.9
2019-12-27,438,NO,50.5,49.3,49.9
2020-12-27,274,NO,52.0,51.6,51.8
2019-12-28,380,NO,51.5,49.5,50.5
2020-12-28,376,YES,50.5,51.3,50.9
2019-12-29,342,YES,51.0,52.7,51.85
2020-12-29,349,NO,52.0,50.1,51.05
2019-12-30,397,YES,53.5,51.6,52.55
2020-12-30,324,YES,48.5,49.7,49.1
2019-12-31,378,NO,54.5,50.9,52.7
2020-12-31,382,YES,52.5,53.1,52.8
